Customer_ID,Age,Location,Income_Level,Total_Transactions,Avg_Transaction_Value,Max_Transaction_Value,Min_Transaction_Value,Total_Spent,Active_Days,Last_Transaction_Days_Ago,Loyalty_Points_Earned,Referral_Count,App_Usage_Frequency,Support_Tickets_Raised,Issue_Resolution_Time,Customer_Satisfaction_Score,LTV,
1,67,Suburban,High,979,14536.7,48350.1,2186.7,14231463.3,229,240,2960,20,Monthly,17,60.4,8,1437052.914,
2,44,Urban,High,329,7061.4,32521.2,2743.4,2323191.7,73,21,3170,0,Monthly,11,45.3,4,241938.6594,
3,30,Rural,High,71,16426.9,17827.9,4360.8,1166308.2,299,285,4756,35,Weekly,6,22.0,1,128459.895,
4,58,Urban,Middle,878,10800.1,17497.6,4532.9,9482481.4,236,329,1992,18,Daily,18,20.6,5,956951.3736,
5,23,Rural,Middle,741,6093.2,21310.9,2069.6,4515033.4,195,93,3231,5,Daily,6,17.2,10,467166.6391,
6,36,Rural,Low,946,8751.2,11055.5,2117.4,8278599.8,88,255,4123,46,Weekly,1,11.4,8,846943.3434,
7,54,Urban,Low,63,1324.7,4742.3,239.5,83456,97,162,2513,17,Daily,13,28.9,8,20661.52523,
8,34,Rural,Low,297,18898.7,93293.3,8057.8,5612921.2,166,303,1861,36,Monthly,3,61.8,10,577484.0084,
9,38,Urban,High,245,12386.1,55926.3,4014.1,3034603.6,296,252,1221,7,Daily,10,71.7,3,308366.8488,
10,26,Urban,High,519,14627.4,49201.6,7240.4,7591605.3,203,265,2313,10,Daily,13,50.2,4,766979.5225,
11,26,Rural,High,393,13534.9,61934.4,3375.5,5319216.3,187,188,769,4,Monthly,5,12.1,10,542893.5655,
12,39,Rural,High,772,13358.3,19570.9,4999.9,10312624.7,275,112,3562,20,Monthly,2,48.8,4,1041983.399,
13,68,Suburban,Low,601,355,1000.8,124,213383.3,20,30,1432,39,Monthly,15,20.6,3,31001.24129,
14,51,Rural,Middle,177,10512.2,28537.4,3732.2,1860654.4,73,273,1957,42,Weekly,19,52.0,6,199170.9976,
15,55,Suburban,Middle,204,16436,38555.4,6488.8,3352941.4,338,315,2304,20,Daily,15,17.8,3,343117.5167,
16,39,Rural,High,646,899.9,900.7,140.1,581356,361,168,1359,19,Weekly,2,12.6,6,67680.14528,
17,18,Urban,Middle,594,19123.8,87283,6116.9,11359508.7,310,96,4953,41,Weekly,15,46.0,5,1154308.749,
18,37,Rural,Middle,1000,8489,34896.6,2577.7,8488952.1,82,135,1256,8,Monthly,17,49.6,2,853173.5709,
19,68,Urban,Middle,533,5805,20964.4,1375.9,3094070.8,296,38,72,1,Daily,7,14.1,8,315447.2882,
20,17,Urban,High,911,10641.1,16130.5,2920.6,9694050.3,356,288,1182,48,Weekly,9,37.4,7,982201.5135,
21,39,Urban,Low,128,16026.3,40271.1,4928.5,2051362.8,27,69,482,3,Monthly,2,63.5,7,212562.5012,
22,59,Suburban,Low,195,9500.4,44626.1,2169.6,1852569,141,234,1239,25,Weekly,13,49.6,6,194556.0894,
23,45,Rural,Middle,194,12905.7,44753.2,2803.9,2503698.5,47,67,2242,11,Daily,14,49.0,9,263424.2394,
24,53,Urban,Low,184,10003.3,34147.6,3954.4,1840605.1,112,56,3383,18,Monthly,1,52.4,4,195225.3934,
25,17,Urban,Low,247,12629.1,58757.1,1601,3119395.7,235,276,402,18,Weekly,15,25.9,5,318565.6774,
26,36,Suburban,High,873,2769.2,8970.5,623.6,2417544.8,151,192,764,18,Daily,12,15.6,9,253901.9762,
27,48,Rural,High,872,782.9,2654.4,283,682672.3,315,120,1835,28,Daily,14,53.1,3,76185.40228,
28,27,Rural,Middle,324,2746.7,6544.9,504,889917.5,333,11,2589,38,Weekly,13,58.6,3,99920.28293,
29,37,Suburban,Middle,160,5723.9,14228.3,1882.6,915824.7,126,146,803,44,Daily,17,64.6,8,104516.562,
30,59,Suburban,Middle,706,5074.6,18991.3,1120.8,3582658.9,7,14,4201,33,Monthly,15,57.5,10,379382.6897,
31,40,Rural,High,622,12307.4,28082.2,5382.3,7655175,50,34,4217,7,Monthly,11,25.6,6,780027.9459,
32,64,Suburban,Low,925,9123.2,29526.7,2189.5,8438987.4,360,204,3002,5,Monthly,13,34.2,2,850434.0837,
33,42,Rural,High,66,785.9,1663.5,150.7,51866.2,66,86,2762,31,Monthly,14,56.4,3,15612.20792,
34,57,Rural,High,930,707,1176.8,220.6,657481.6,362,154,2819,27,Weekly,1,39.2,8,81812.91568,
35,43,Urban,Low,254,1820.9,5130.5,280.9,462497,167,170,3124,10,Weekly,4,40.6,5,58383.06831,
36,31,Urban,Low,283,7068.1,13215.8,2961.5,2000270.1,252,167,3195,27,Daily,12,67.9,2,210555.2245,
37,30,Rural,Middle,60,133.6,613.7,49.7,8015.8,263,185,309,31,Daily,17,69.0,3,6300.978674,
38,62,Rural,Low,118,9884.8,21889.4,4035,1166407,196,306,3827,40,Daily,12,55.0,2,128751.5789,
39,66,Rural,Low,423,7219.8,24472.2,1873.9,3053969.7,183,113,4652,7,Monthly,8,58.5,5,320041.7758,
40,59,Rural,Low,556,11113.3,22824.1,4823.2,6178979,264,144,2960,19,Weekly,9,19.8,5,629633.2553,
41,67,Rural,Low,998,14419.3,29301.1,4288.6,14390457.7,288,318,2256,23,Weekly,19,43.2,9,1454676.391,
42,18,Rural,Middle,722,5026.9,12077.5,693.1,3629455.4,275,354,434,26,Daily,4,34.9,6,372319.2285,
